goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1224 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1207 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1220 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1223 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1220 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1224 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1216 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1213 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1220 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      1209 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	       730.7 ns/op	       3 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	       722.7 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	       727.2 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	       727.1 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	       729.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	       728.6 ns/op	       1 B/op	       0 allocs/op
