goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       150.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       151.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       151.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       148.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       150.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       150.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       152.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       152.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       150.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       152.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       155.5 ns/op	       2 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       156.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       153.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       153.8 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       155.2 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       154.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       155.1 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       149.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       155.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       155.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       157.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       153.8 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       148.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       152.9 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       151.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       148.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       151.3 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       144.7 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       153.2 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       154.1 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       152.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       153.3 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       150.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       153.5 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       146.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       151.1 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       155.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       151.5 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       152.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	       153.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       159.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       164.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       166.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       163.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       169.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       165.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       167.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       165.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       163.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       165.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       170.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       166.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       168.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       166.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       164.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       167.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       167.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       164.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       172.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       171.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       165.5 ns/op	       0 B/op	       0 allocs/op
