goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7405 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7580 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7869 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7987 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7792 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7954 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      8072 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      8186 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      8076 ns/op	     506 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      8100 ns/op	     506 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10941 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     11095 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10926 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10880 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10954 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10972 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     11097 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10952 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     10813 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	     11057 ns/op	     285 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11028 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11117 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11032 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11082 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11115 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11124 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     10998 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     10987 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     11061 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	     10947 ns/op	     493 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      8483 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      8406 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      8284 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7338 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7265 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7339 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7176 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7276 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7252 ns/op	     290 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	      7587 ns/op	     290 B/op	       8 allocs/op
