goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6868 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6446 ns/op	    1348 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      5692 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6207 ns/op	    1348 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      5459 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      5680 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6604 ns/op	    1348 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6101 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6246 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6149 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      5666 ns/op	     283 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      6214 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      5754 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      5554 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      5635 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      6424 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      5634 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      6047 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      6545 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      6003 ns/op	     281 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      5631 ns/op	     490 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      6625 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7066 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      6585 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      6412 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      7029 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      5392 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      6295 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      5870 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	      6943 ns/op	     489 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      6499 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      6225 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      7063 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      7653 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      6562 ns/op	    1355 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      6547 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      6869 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      5962 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      6866 ns/op	    1354 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(1024)-10      	  100000	      7016 ns/op	    1355 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      5450 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      6440 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      5487 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      6821 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      4811 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      4883 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      4889 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      4926 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      5252 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	      4811 ns/op	     268 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      6494 ns/op	     477 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      8823 ns/op	     477 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      5555 ns/op	     477 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      5577 ns/op	     477 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      4930 ns/op	     477 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      4906 ns/op	     477 B/op	       8 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	      5523 ns/op	     477 B/op	       8 allocs/op
