goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      5229 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      6179 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      5331 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      5847 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      5743 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      6669 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      6431 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      5836 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      6122 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(1024)-10       	  100000	      5374 ns/op	     264 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      5720 ns/op	     272 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6963 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6347 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6559 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      5380 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6618 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6282 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6993 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      6390 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      5850 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5792 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5984 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      6749 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      7693 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      6845 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5795 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      7086 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      6497 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      7027 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5844 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      6910 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      6279 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      6388 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      5487 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      7038 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      7279 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      7392 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      6147 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      6851 ns/op	     269 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(1024)-10      	  100000	      5310 ns/op	     269 B/op	       9 allocs/op
