goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       156.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       156.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       156.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       157.1 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       159.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       148.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       157.5 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       158.8 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       163.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(256)-10       	  100000	       161.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       184.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       176.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       176.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       172.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       180.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       181.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       174.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       177.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       173.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(64)-10         	  100000	       175.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       176.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       172.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       173.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       174.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       173.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       167.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       172.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       177.3 ns/op	       0 B/op	       0 allocs/op
