goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      7498 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8195 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8175 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8102 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      7827 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8011 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8269 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8196 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8104 ns/op	     286 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      8012 ns/op	     286 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     10946 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11051 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11084 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11105 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11053 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11047 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11139 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11015 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     10829 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	     11066 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11139 ns/op	     273 B/op	       9 allocs/op
